role,skills
import export specialist in agricultural machinery and equipment,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, agricultural equipment, create import-export commercial documentation, administer multi-modal logistics, import export regulations of dangerous chemicals, handle carriers, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, plan transport operations, handle quotes from prospective shippers"
"import export specialist in agricultural raw materials, seeds and animal feeds","international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, administer multi-modal logistics, handle carriers, protective measures against the introduction of organisms, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, international business, regulations on substances, agricultural raw materials, seeds and animal feed products, plan transport operations, general principles of food law, handle quotes from prospective shippers"
import export specialist in beverages,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, beverage products, create import-export commercial documentation, administer multi-modal logistics, handle carriers, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, food and beverage industry, apply conflict management, communicate with shipment forwarders, meet deadlines, international business, regulations on substances, apply regulations regarding the sale of alcoholic beverages, plan transport operations, general principles of food law, handle quotes from prospective shippers"
import export specialist in chemical products,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, export regulations of dual-use goods, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, chemical products, administer multi-modal logistics, import export regulations of dangerous chemicals, handle carriers, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, international business, regulations on substances, plan transport operations, handle quotes from prospective shippers"
import export specialist in china and other glassware,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, administer multi-modal logistics, handle carriers, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, glassware products, international business, plan transport operations, handle quotes from prospective shippers"
import export specialist in clothing and footwear,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, clothing and footwear products, create import-export commercial documentation, administer multi-modal logistics, handle carriers, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, clothing industry, apply conflict management, communicate with shipment forwarders, meet deadlines, regulations on substances, plan transport operations, footwear industry, handle quotes from prospective shippers"
"import export specialist in coffee, tea, cocoa and spices","international commercial transactions rules, coffee, tea, cocoa and spice products, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, types of coffee beans, create import-export commercial documentation, administer multi-modal logistics, handle carriers, protective measures against the introduction of organisms, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, food hygiene rules, apply conflict management, communicate with shipment forwarders, meet deadlines, regulations on substances, plan transport operations, general principles of food law, handle quotes from prospective shippers"
"import export specialist in computers, peripheral equipment and software","international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, administer multi-modal logistics, handle carriers, ICT software specifications, create solutions to problems, embargo regulations, multimedia systems, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, computer equipment, plan transport operations, handle quotes from prospective shippers"
import export specialist in dairy products and edible oils,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, animal health rules of distribution of products of animal origin, create import-export commercial documentation, administer multi-modal logistics, handle carriers, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, food hygiene rules, apply conflict management, communicate with shipment forwarders, meet deadlines, dairy and edible oil products, international business, regulations on substances, plan transport operations, general principles of food law, handle quotes from prospective shippers"
import export specialist in electrical household appliances,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, consumer goods industry, create import-export commercial documentation, administer multi-modal logistics, handle carriers, electrical household appliances products, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, plan transport operations, handle quotes from prospective shippers"
import export specialist in electronic and telecommunications equipment,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, export regulations of dual-use goods, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, electronic and telecommunication equipment, create import-export commercial documentation, administer multi-modal logistics, handle carriers, handle warranty for digital equipment, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, plan transport operations, handle quotes from prospective shippers"
"import export specialist in fish, crustaceans and molluscs","international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, animal health rules of distribution of products of animal origin, create import-export commercial documentation, administer multi-modal logistics, handle carriers, fish, crustacean and mollusc products, protective measures against the introduction of organisms, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, food hygiene rules, apply conflict management, communicate with shipment forwarders, meet deadlines, plan transport operations, general principles of food law, handle quotes from prospective shippers"
import export specialist in flowers and plants,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, flower and plant products, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, administer multi-modal logistics, handle carriers, protective measures against the introduction of organisms, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, regulations on substances, plan transport operations, general principles of food law, handle quotes from prospective shippers"
import export specialist in fruit and vegetables,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, administer multi-modal logistics, handle carriers, protective measures against the introduction of organisms, create solutions to problems, embargo regulations, fruit and vegetable products, build rapport with people from different cultural backgrounds, food hygiene rules, apply conflict management, communicate with shipment forwarders, meet deadlines, regulations on substances, plan transport operations, general principles of food law, handle quotes from prospective shippers"
"import export specialist in furniture, carpets and lighting equipment","international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, administer multi-modal logistics, furniture, carpet and lighting equipment products, handle carriers, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, regulations on substances, plan transport operations, handle quotes from prospective shippers"
"import export specialist in hardware, plumbing and heating equipment","international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, export regulations of dual-use goods, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, administer multi-modal logistics, import export regulations of dangerous chemicals, handle carriers, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, hardware, plumbing and heating equipment products, plan transport operations, handle quotes from prospective shippers"
"import export specialist in hides, skins and leather products","international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, administer multi-modal logistics, handle carriers, protective measures against the introduction of organisms, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, hides, skins and leather products, plan transport operations, handle quotes from prospective shippers"
import export specialist in household goods,"household products, international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, consumer goods industry, create import-export commercial documentation, administer multi-modal logistics, handle carriers, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, international business, plan transport operations, handle quotes from prospective shippers"
import export specialist in live animals,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, live animal products, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, animal health rules of distribution of products of animal origin, create import-export commercial documentation, administer multi-modal logistics, handle carriers, protective measures against the introduction of organisms, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, plan transport operations, general principles of food law, handle quotes from prospective shippers"
import export specialist in machine tools,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, export regulations of dual-use goods, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, capital goods industry, administer multi-modal logistics, import export regulations of dangerous chemicals, handle carriers, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, machine tools, plan transport operations, handle quotes from prospective shippers"
"import export specialist in machinery, industrial equipment, ships and aircraft","international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, export regulations of dual-use goods, apply import strategies, monitor merchandise delivery, types of maritime vessels, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, capital goods industry, administer multi-modal logistics, import export regulations of dangerous chemicals, machinery products, handle carriers, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, industrial tools, types of aircraft, international business, plan transport operations, handle quotes from prospective shippers"
import export specialist in meat and meat products,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, animal health rules of distribution of products of animal origin, create import-export commercial documentation, administer multi-modal logistics, handle carriers, protective measures against the introduction of organisms, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, food hygiene rules, apply conflict management, communicate with shipment forwarders, meet deadlines, regulations on substances, meat and meat products, plan transport operations, general principles of food law, handle quotes from prospective shippers"
import export specialist in metals and metal ores,"international commercial transactions rules, metal and metal ore products, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, administer multi-modal logistics, import export regulations of dangerous chemicals, handle carriers, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, foreign languages for international careers, regulations on substances, plan transport operations, handle quotes from prospective shippers"
"import export specialist in mining, construction, civil engineering machinery","international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, export regulations of dual-use goods, mining, construction and civil engineering machinery products, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, administer multi-modal logistics, handle carriers, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, foreign languages for international careers, plan transport operations, handle quotes from prospective shippers"
import export specialist in office furniture,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, office furniture products, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, administer multi-modal logistics, handle carriers, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, plan transport operations, handle quotes from prospective shippers"
import export specialist in office machinery and equipment,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, administer multi-modal logistics, office equipment, handle carriers, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, plan transport operations, handle quotes from prospective shippers"
import export specialist in perfume and cosmetics,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, administer multi-modal logistics, import export regulations of dangerous chemicals, handle carriers, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, food hygiene rules, apply conflict management, communicate with shipment forwarders, meet deadlines, regulations on substances, perfume and cosmetic products, plan transport operations, handle quotes from prospective shippers"
import export specialist in pharmaceutical goods,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, administer multi-modal logistics, import export regulations of dangerous chemicals, handle carriers, create solutions to problems, embargo regulations, pharmaceutical products, build rapport with people from different cultural backgrounds, food hygiene rules, apply conflict management, communicate with shipment forwarders, meet deadlines, international business, regulations on substances, plan transport operations, handle quotes from prospective shippers"
"import export specialist in sugar, chocolate and sugar confectionery","international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, administer multi-modal logistics, handle carriers, protective measures against the introduction of organisms, create solutions to problems, sugar, chocolate and sugar confectionery products, embargo regulations, build rapport with people from different cultural backgrounds, food hygiene rules, apply conflict management, communicate with shipment forwarders, meet deadlines, regulations on substances, plan transport operations, general principles of food law, handle quotes from prospective shippers"
import export specialist in textile industry machinery,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, export regulations of dual-use goods, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, textile industry machinery products, administer multi-modal logistics, import export regulations of dangerous chemicals, handle carriers, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, plan transport operations, handle quotes from prospective shippers"
import export specialist in textiles and textile semi-finished and raw materials,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, administer multi-modal logistics, handle carriers, protective measures against the introduction of organisms, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, textile products, textile semi-finished products and raw materials, apply conflict management, communicate with shipment forwarders, meet deadlines, regulations on substances, plan transport operations, handle quotes from prospective shippers"
import export specialist in tobacco products,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, administer multi-modal logistics, tobacco products, handle carriers, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, regulations on substances, plan transport operations, general principles of food law, handle quotes from prospective shippers"
import export specialist in waste and scrap,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, waste and scrap products, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, administer multi-modal logistics, import export regulations of dangerous chemicals, handle carriers, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, regulations on substances, plan transport operations, handle quotes from prospective shippers"
import export specialist in watches and jewellery,"international commercial transactions rules, ensure customs compliance, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, watches and jewellery products, administer multi-modal logistics, handle carriers, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, plan transport operations, handle quotes from prospective shippers"
import export specialist in wood and construction materials,"international commercial transactions rules, ensure customs compliance, construction products, file claims with insurance companies, apply export strategies, apply import strategies, monitor merchandise delivery, international import export regulations, have computer literacy, speak different languages, create import-export commercial documentation, wood products, administer multi-modal logistics, handle carriers, protective measures against the introduction of organisms, create solutions to problems, embargo regulations, build rapport with people from different cultural backgrounds, apply conflict management, communicate with shipment forwarders, meet deadlines, regulations on substances, plan transport operations, handle quotes from prospective shippers"
incinerator operator,"health and safety in the workplace, conduct inter-shift communication, measure furnace temperature, operate waste incinerator, thermal treatment, monitor machine operations, identify hazards in the workplace, ensure compliance with waste legislative regulations, wear appropriate protective gear, maintain waste incinerator, manage maintenance operations, ensure compliance with environmental legislation, monitor incineration process, sort waste, metrology"
industrial arts vocational teacher,"apply teaching strategies, instructional strategies, assign homework, types of metal, work with virtual learning environments, assess students, maintain students' discipline, perform classroom management, prepare lesson content, metal smoothing technologies, work in vocational school, manipulate wood, apply intercultural teaching strategies, woodworking tools, engraving technologies, CAD software, manage student relationships, wood cuts, metal coating technologies, corrosion types, furniture wood types, maintenance operations, manufacturing processes, learning difficulties, adapt teaching to student's capabilities, instruct on safety measures, assist students in their learning, cutting technologies, curriculum objectives, manage resources for educational purposes, assessment processes, metal joining technologies, teach industrial arts principles, guarantee students' safety, abrasive machining processes, adapt training to labour market, metalworking tools, deburring processes, provide lesson materials, facilitate teamwork between students, assist students with equipment, woodworking processes, teamwork principles, types of wood, metal eroding technology, develop course outline, give constructive feedback, monitor developments in field of expertise, disability types"
industrial assembly supervisor,"production processes, train employees, integrate new products in manufacturing, ensure finished product meet requirements, motivate employees, use CAM software, quality standards, conflict management, provide technical documentation, plan shifts of employees, manage resources, monitor manufacturing quality standards, business management principles, develop manufacturing policies, define manufacturing quality criteria, optimise production, industrial engineering, arrange equipment repairs, create manufacturing guidelines, follow production schedule, report on production results, manage budgets, perform data analysis, oversee logistics of finished products, liaise with managers, manufacturing processes, oversee quality control, analyse supply chain strategies, read standard blueprints, evaluate employees work, advise on efficiency improvements, advise on machinery malfunctions, manage staff, create solutions to problems, keep records of work progress, manage health and safety standards, communicate production plan, recruit personnel, improve business processes, analyse production processes for improvement, disaggregate the production plan, plan manufacturing processes, check material resources, manage manufacturing documentation, meet productivity targets, follow manufacturing work schedule, analyse the need for technical resources, adjust production schedule, set production facilities standards, industrial design, schedule regular machine maintenance, oversee production requirements, meet deadlines, oversee assembly operations, quality assurance methodologies, adapt production levels, cope with manufacturing deadlines pressure, supervise work, monitor machine operations, communicate problems to senior colleagues, apply control process statistical methods, functionalities of machinery, manufacturing plant equipment, wear appropriate protective gear, industrial software, control production, liaise with quality assurance, total quality control"
industrial cook,"produce meat-based jelly preparations, analyse trends in the food and beverage industries, label foodstuffs, combination of textures, cultural customs on food preparation, apply requirements concerning manufacturing of food and beverages, operate mixing of food products, food canning production line, food homogenisation, bake goods, identify nutritional properties of food, follow hygienic procedures during food processing, apply food technology principles, dispose food waste, monitor temperature in farinaceous processes, select adequate packaging for food products, knead food products, origin of dietary fats and oils, perform sensory evaluation of food products, operate a heat treatment process, food storage, care for food aesthetic, apply flame handling regulations, develop new food products, watch food product trends, handle kitchen equipment, apply different dehydration processes of fruits and vegetables, coat food products, research new cooking methods, ensure compliance with environmental legislation in food production, work according to recipe, temperature scales, select adequate ingredients, food science, analyse characteristics of food products at reception, keep inventory of goods in production, make artistic food creations, maintain food specifications, label samples, functional properties of foods, food and beverage industry, blend food ingredients, create new recipes, combination of flavours, apply HACCP, ingredient threats, food allergies, check quality of products on the production line, ensure sanitation, collect samples for analysis, fermentation processes of food, maintain industrial ovens, administer ingredients in food production, research new food ingredients, participate in the development of new food products, identify market niches, maintain cutting equipment, be at ease in unsafe environments, execute chilling processes to food products, apply preservation treatments, examine production samples, apply GMP"
industrial designer,"design management, draw blueprints, perform project management, types of packaging materials, draw design sketches, aesthetics, cost management, ergonomics, monitor production developments, coordinate manufacturing production activities, types of glazing, use CAD software, calculate materials to build equipment, conduct research on trends in design, use specialised design software, industrial engineering, collaborate with engineers, create a product's virtual model, liaise with engineers, engineering principles, CAD software, consult with design team, develop jewellery designs, manufacturing processes, apply 3D imaging techniques, use technical drawing software, types of toy materials, adapt existing designs to changed circumstances, think creatively about jewellery, draft design specifications, use CAE software, build jewellery models, ceramic ware, 3D modelling, analyse production processes for improvement, pneumatics, perform physical stress tests on models, determine production feasibility, human-robot collaboration, design package, engineering processes, prospect new customers, CAM software, build a product's physical model, design prototypes, mathematics, produce sustainable products, present artistic design proposals, industrial design, identify customer's needs, meet deadlines, manage contracts, write manuals, apply desktop publishing techniques, prepare production prototypes, perform market research, design principles, plan event marketing for promotional campaigns, perform ideation activities, calculate design costs, jewellery processes, copyright legislation, hydraulics, determine suitability of materials, attend design meetings, follow a brief, adapt to new design materials"
industrial electrician,"electrical testing methods, electricity, react to events in time-critical environments, inspect electrical supplies, maintain electrical equipment, electromechanics, solar panel mounting systems, electric generators, answer requests for quotation, assemble electrical components, program firmware, read electricity meter, provide power connection from bus bars, assemble electronic units, make electrical calculations, repair wiring, test electronic units, install electric switches, energy performance of buildings, apply coating to electrical equipment, troubleshoot, work ergonomically, cut wall chases, install circuit breakers, use precision tools, electrical wire accessories, automation technology, follow health and safety procedures in construction, building systems monitoring technology, keep records of work progress, electricity consumption, replace defect components, install electrical and electronic equipment, order electrical supplies, write inspection reports, ensure safety in electrical power operations, resolve equipment malfunctions, inspect construction supplies, electronics, install lightning protection system, use measurement instruments, solder electronics, splice cable, install electricity sockets, use safety equipment in construction, electrical wiring plans, use sander"
industrial engineer,"perform project management, robotics, optimise production, CAD software, material mechanics, approve engineering design, manufacturing processes, develop product design, analyse production processes for improvement, perform test run, engineering processes, mathematics, lean manufacturing, industrial tools, automotive engineering, design principles, design drawings, continuous improvement philosophies, semiconductors, build machines, integrate new products in manufacturing, use CAD software, computer engineering, maintain relationship with suppliers, keep up with digital transformation of industrial processes, chemistry, engineering principles, manage production systems, mechanics, advise on manufacturing problems, plan manufacturing processes, microelectronics, optimise production processes parameters, industrial research and development, welding techniques, prepare production prototypes, technical drawings, physics, production processes, train employees, coordinate manufacturing production activities, read engineering drawings, industrial engineering, communicate with customers, execute analytical mathematical calculations, liaise with engineers, manage budgets, automation technology, adjust engineering designs, principles of mechanical engineering, aerospace engineering, lead process optimisation, mechanical engineering, control production, instrumentation engineering, design automation components, electromechanics, production engineering, quality standards, types of metal, apply advanced manufacturing, examine engineering principles, provide improvement strategies, microelectromechanical systems, electrical engineering, environmental legislation, maintain industrial equipment, mechatronics, schedule production, 3D modelling, design prototypes, determine production capacity, develop production line, oversee assembly operations, electronics, coordinate engineering teams, instrumentation equipment"
industrial engineering technician,"define part requirements, record test data, create technical plans, operate soldering equipment, read engineering drawings, use CAD software, troubleshoot, analyse test data, industrial engineering, secure working area, collaborate with engineers, operate welding equipment, engineering principles, perform maintenance on installed equipment, CAD software, mechanics, advise on manufacturing problems, oversee quality control, read standard blueprints, blueprints, order supplies, create solutions to problems, adjust engineering designs, conduct routine machinery checks, analyse production processes for improvement, assess operating cost, perform test run, engineering processes, use testing equipment, mathematics, resolve equipment malfunctions, CAE software, use computer-aided engineering systems, manage supplies"
industrial firefighter,"assist people in contaminated areas, health and safety regulations, provide first aid, manage major incidents, organise fire drills, fire safety regulations, first aid, industrial engineering, select hazard control, ensure public safety and security, fire prevention procedures, liaise with industrial professionals, handle flammable substances, work with chemicals, contain fires, manage emergency care situations, inspect industrial equipment, work as a team in a hazardous environment, work safely with chemicals, monitor chemical process condition, implement fire safety management plans, extinguish fires, assess risk factors, evacuate people from buildings, manage factory operations, use different types of fire extinguishers, industrial tools, monitor disposal of radioactive substances, fire-fighting systems, regulations on substances, perform search and rescue missions, hydraulics"
industrial machinery assembler,"inspect quality of products, record test data, operate industrial equipment, develop assembly instructions, set up machine controls, troubleshoot, secure working area, consult technical resources, operate welding equipment, perform maintenance on installed equipment, perform pre-assembly quality checks, mechanics, maintain industrial equipment, perform machine maintenance, read standard blueprints, inspect industrial equipment, manufacturing of office equipment, assemble machines, perform test run, maintain records of maintenance interventions, repair industrial equipment, manufacturing of taps and valves, use testing equipment, resolve equipment malfunctions, apply technical communication skills, monitor automated machines, solve technical problems, wear appropriate protective gear, manufacturing of pumps and compressors, recognise signs of corrosion, install machinery"
industrial machinery mechanic,"electricity, record test data, operate industrial equipment, operate soldering equipment, provide customer information related to repairs, issue sales invoices, troubleshoot, install blinds drive systems, secure working area, install pneumatic systems, consult technical resources, operate welding equipment, perform maintenance on installed equipment, perform ICT troubleshooting, dispose of hazardous waste, mechanics, order supplies, lay pipe installation, inspect industrial equipment, manufacturing of office equipment, conduct routine machinery checks, install electrical and electronic equipment, pneumatics, perform test run, manufacturing of taps and valves, write records for repairs, use testing equipment, resolve equipment malfunctions, types of lubricants, apply technical communication skills, estimate restoration costs, solve technical problems, manufacturing of pumps and compressors, prepare compliance documents, install hydraulic systems, hydraulics, electrical wiring plans"
industrial maintenance supervisor,"train employees, integrate new products in manufacturing, quality standards, energy conservation, monitor manufacturing quality standards, plan shifts of employees, sustainable manufacturing, undertake inspections, follow nuclear plant safety precautions, manage budgets, power plant instrumentation, perform data analysis, project commissioning, liaise with managers, oversee quality control, read standard blueprints, evaluate employees work, advise on machinery malfunctions, create solutions to problems, radiation protection, use computerised maintenance management systems, recruit personnel, check material resources, analyse production processes for improvement, manage maintenance operations, write inspection reports, inspect data, coordinate communication within a team, write records for repairs, lean manufacturing, schedule regular machine maintenance, oversee production requirements, communicate problems to senior colleagues, ensure compliance with maintenance legislation, identify hazards in the workplace, functionalities of machinery, check for damaged items, wear appropriate protective gear, advise on machine maintenance, maintain machinery, prepare compliance documents, liaise with quality assurance"
industrial mobile devices software developer,"ML (computer programming), mobile operating systems, mobile device software frameworks, use concurrent programming, Apache Maven, Android (mobile operating systems), Erlang, design application interfaces, STAF, Assembly (computer programming), TypeScript, BlackBerry, ASP.NET, Eclipse (integrated development environment software), SAS language, Salt (tools for software configuration management), identify customer requirements, Smalltalk (computer programming), adapt to changes in technological development plans, interpret technical texts, analyse software specifications, C#, Groovy, Ruby (computer programming), industrial software, use object-oriented programming, migrate existing data, Visual Basic, World Wide Web Consortium standards, Perl, software anomalies, debug software, Prolog (computer programming), iOS, Scala, integrated development environment software, Objective-C, Haskell, Python (computer programming), trading software, MATLAB, use software libraries, Microsoft Visual C++, use word processing software, create flowchart diagram, Ansible, screen reader, Scratch (computer programming), computer programming, CoffeeScript, use an application-specific interface, ABAP, provide connected car solutions, APL, PHP, Xcode, ICT debugging tools, SAP R3, Common Lisp, use software design patterns, use functional programming, use different communication channels, integrate system components, KDevelop, tools for software configuration management, ICT security legislation, develop creative ideas, R, Pascal (computer programming), C++, use logic programming, Puppet (tools for software configuration management), VBScript, develop software prototype, OpenEdge Advanced Business Language, embedded systems, Lisp, Java (computer programming), design user interface, collect customer feedback on applications, object-oriented modelling, utilise computer-aided software engineering tools, AJAX, use automatic programming, COBOL, Internet of Things, Swift (computer programming), JavaScript, Jenkins (tools for software configuration management)"
